ID,Title,Description,URL,SKU,Brand,Group,HTML snippet
198242,SMC ZP16BGS PAD Incl VAT,"Brand: SMC<br>PART NUMBER: ZP16BGS<br>DESCRIPTION: With Lock Ring - ZP (B)<br>PROPERTIES/VALUES: Pad Diameter:  diameter 16
Material:  GS (Conductive Silicon Rubber)
Lock Ring:  Lock Ring<br>LONG DESCRIPTION: ZP series vacuum cups are available in 19 diameters from  2 to 200mm, 6-cup materials, and 4 cup designs, offers a  wide selection to choose from. The 4-cup designs flat,  flat with ribs, deep and bellows are standard, but if these  don't meet your application requirements, contact us about  your special application. Our engineers have custom made many  designs and shapes using a variety of materials.<br>BULLET POINTS: Pad Sizes: diameter  6 - diameter  50 mm<li>Shapes: Bellows Type
Materials: Fluoro Rubber, Conductive NBR, Conductive Silicone Rubber, NBR, Silicone Rubber, Urethane Rubber.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/with-lock-ring-zp-b~138703~cfg?partNumber=ZP16BGS<br>PDF: https://content2.smcetech.com/pdf/ZP_EU.pdf<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 7.61<br>Price per unit: 7.61",https://iknan.co.uk/product/smc-zp16bgs-pad-incl-vat/,ZP16BGS,SMC,42,"<section id='p198242'><h2><a href='https://iknan.co.uk/product/smc-zp16bgs-pad-incl-vat/'>SMC ZP16BGS PAD Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ZP16BGS<br>DESCRIPTION: With Lock Ring - ZP (B)<br>PROPERTIES/VALUES: Pad Diameter:  diameter 16<br/>Material:  GS (Conductive Silicon Rubber)<br/>Lock Ring:  Lock Ring<br>LONG DESCRIPTION: ZP series vacuum cups are available in 19 diameters from  2 to 200mm, 6-cup materials, and 4 cup designs, offers a  wide selection to choose from. The 4-cup designs flat,  flat with ribs, deep and bellows are standard, but if these  don't meet your application requirements, contact us about  your special application. Our engineers have custom made many  designs and shapes using a variety of materials.<br>BULLET POINTS: Pad Sizes: diameter  6 - diameter  50 mm<li>Shapes: Bellows Type<br/>Materials: Fluoro Rubber, Conductive NBR, Conductive Silicone Rubber, NBR, Silicone Rubber, Urethane Rubber.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/with-lock-ring-zp-b~138703~cfg?partNumber=ZP16BGS<br>PDF: https://content2.smcetech.com/pdf/ZP_EU.pdf<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 7.61<br>Price per unit: 7.61</p><p><a href='https://iknan.co.uk/product/smc-zp16bgs-pad-incl-vat/' target='_blank'>View product</a></p></section>"
198243,SMC CDM2B32-50TZ CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CDM2B32-50TZ<br>DESCRIPTION: AIR CYLINDER                                                <br>
Customs Stat number: 8412310090<br>Net weight: 0.455<br>Country of orig: CN <br>Length (mm): 247<br>Width (mm): 37<br>Height (mm): 35<br>Cyl.Bore Size (mm): 32<br>eC@ss code 6.2 versn: 27290304<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 54.44<br>Price per unit: 54.44",https://iknan.co.uk/product/smc-cdm2b32-50tz-cylinder-incl-vat/,CDM2B32-50TZ,SMC,42,<section id='p198243'><h2><a href='https://iknan.co.uk/product/smc-cdm2b32-50tz-cylinder-incl-vat/'>SMC CDM2B32-50TZ CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CDM2B32-50TZ<br>DESCRIPTION: AIR CYLINDER                                                <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.455<br>Country of orig: CN <br>Length (mm): 247<br>Width (mm): 37<br>Height (mm): 35<br>Cyl.Bore Size (mm): 32<br>eC@ss code 6.2 versn: 27290304<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 54.44<br>Price per unit: 54.44</p><p><a href='https://iknan.co.uk/product/smc-cdm2b32-50tz-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198244,SMC CDM2B40-100TZ CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CDM2B40-100TZ<br>DESCRIPTION: AIR CYLINDER                                                <br>
Customs Stat number: 8412310090<br>Net weight: 1.046<br>Country of orig: JP <br>Cyl.Bore Size (mm): 40<br>eC@ss code 6.2 versn: 27290304<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 88.11<br>Price per unit: 88.11",https://iknan.co.uk/product/smc-cdm2b40-100tz-cylinder-incl-vat/,CDM2B40-100TZ,SMC,42,<section id='p198244'><h2><a href='https://iknan.co.uk/product/smc-cdm2b40-100tz-cylinder-incl-vat/'>SMC CDM2B40-100TZ CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CDM2B40-100TZ<br>DESCRIPTION: AIR CYLINDER                                                <br><br/>Customs Stat number: 8412310090<br>Net weight: 1.046<br>Country of orig: JP <br>Cyl.Bore Size (mm): 40<br>eC@ss code 6.2 versn: 27290304<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 88.11<br>Price per unit: 88.11</p><p><a href='https://iknan.co.uk/product/smc-cdm2b40-100tz-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198245,SMC CP96NDB80-700C CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CP96NDB80-700C<br>DESCRIPTION: CYLINDER WITH LOCK diameter 80 STR=700                              <br>
Customs Stat number: 8412310090<br>Net weight: 10.908<br>Country of orig: GB <br>Cyl.Bore Size (mm): 80<br>eC@ss code 6.2 versn: 27290290<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 729.43<br>Price per unit: 729.43",https://iknan.co.uk/product/smc-cp96ndb80-700c-cylinder-incl-vat/,CP96NDB80-700C,SMC,42,<section id='p198245'><h2><a href='https://iknan.co.uk/product/smc-cp96ndb80-700c-cylinder-incl-vat/'>SMC CP96NDB80-700C CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CP96NDB80-700C<br>DESCRIPTION: CYLINDER WITH LOCK diameter 80 STR=700                              <br><br/>Customs Stat number: 8412310090<br>Net weight: 10.908<br>Country of orig: GB <br>Cyl.Bore Size (mm): 80<br>eC@ss code 6.2 versn: 27290290<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 6<br>Price includes VAT (shipping calculated at cart)<br>Net price: 729.43<br>Price per unit: 729.43</p><p><a href='https://iknan.co.uk/product/smc-cp96ndb80-700c-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198246,SMC MDUB32TF-10DMZ CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: MDUB32TF-10DMZ<br>DESCRIPTION: PLATE CYLINDER                                              <br>
Customs Stat number: 8412310090<br>Net weight: 0.34<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>eC@ss code 6.2 versn: 27290303<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 28<br>Price includes VAT (shipping calculated at cart)<br>Net price: 59.81<br>Price per unit: 59.81",https://iknan.co.uk/product/smc-mdub32tf-10dmz-cylinder-incl-vat/,MDUB32TF-10DMZ,SMC,42,<section id='p198246'><h2><a href='https://iknan.co.uk/product/smc-mdub32tf-10dmz-cylinder-incl-vat/'>SMC MDUB32TF-10DMZ CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: MDUB32TF-10DMZ<br>DESCRIPTION: PLATE CYLINDER                                              <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.34<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>eC@ss code 6.2 versn: 27290303<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 28<br>Price includes VAT (shipping calculated at cart)<br>Net price: 59.81<br>Price per unit: 59.81</p><p><a href='https://iknan.co.uk/product/smc-mdub32tf-10dmz-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198247,SMC AS4201F-04-16A CONTROLLER Incl VAT,"Brand: SMC<br>PART NUMBER: AS4201F-04-16A<br>DESCRIPTION: SPEED CONTROLLER                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.06<br>Country of orig: IN <br>Length (mm): 24<br>Width (mm): 48<br>Height (mm): 51<br>eC@ss code 6.2 versn: 27292202<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 16.85<br>Price per unit: 16.85",https://iknan.co.uk/product/smc-as4201f-04-16a-controller-incl-vat/,AS4201F-04-16A,SMC,42,<section id='p198247'><h2><a href='https://iknan.co.uk/product/smc-as4201f-04-16a-controller-incl-vat/'>SMC AS4201F-04-16A CONTROLLER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS4201F-04-16A<br>DESCRIPTION: SPEED CONTROLLER                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.06<br>Country of orig: IN <br>Length (mm): 24<br>Width (mm): 48<br>Height (mm): 51<br>eC@ss code 6.2 versn: 27292202<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 16.85<br>Price per unit: 16.85</p><p><a href='https://iknan.co.uk/product/smc-as4201f-04-16a-controller-incl-vat/' target='_blank'>View product</a></p></section>
198248,SMC CJPB10-5Z CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CJPB10-5Z<br>DESCRIPTION: PIN CYLINDER                                                <br>
Customs Stat number: 8412310090<br>Net weight: 0<br>Country of orig: JP <br>Cyl.Bore Size (mm): 10<br>eC@ss code 6.2 versn: 27290305<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 16.46<br>Price per unit: 16.46",https://iknan.co.uk/product/smc-cjpb10-5z-cylinder-incl-vat/,CJPB10-5Z,SMC,42,<section id='p198248'><h2><a href='https://iknan.co.uk/product/smc-cjpb10-5z-cylinder-incl-vat/'>SMC CJPB10-5Z CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CJPB10-5Z<br>DESCRIPTION: PIN CYLINDER                                                <br><br/>Customs Stat number: 8412310090<br>Net weight: 0<br>Country of orig: JP <br>Cyl.Bore Size (mm): 10<br>eC@ss code 6.2 versn: 27290305<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 16.46<br>Price per unit: 16.46</p><p><a href='https://iknan.co.uk/product/smc-cjpb10-5z-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198249,SMC CJPB6-10Z CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CJPB6-10Z<br>DESCRIPTION: PIN CYLINDER                                                <br>
Customs Stat number: 8412310090<br>Net weight: 0<br>Country of orig: JP <br>Cyl.Bore Size (mm): 6<br>eC@ss code 6.2 versn: 27290305<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 12.56<br>Price per unit: 12.56",https://iknan.co.uk/product/smc-cjpb6-10z-cylinder-incl-vat/,CJPB6-10Z,SMC,42,<section id='p198249'><h2><a href='https://iknan.co.uk/product/smc-cjpb6-10z-cylinder-incl-vat/'>SMC CJPB6-10Z CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CJPB6-10Z<br>DESCRIPTION: PIN CYLINDER                                                <br><br/>Customs Stat number: 8412310090<br>Net weight: 0<br>Country of orig: JP <br>Cyl.Bore Size (mm): 6<br>eC@ss code 6.2 versn: 27290305<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 12.56<br>Price per unit: 12.56</p><p><a href='https://iknan.co.uk/product/smc-cjpb6-10z-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198250,SMC CY1SG25TF-400BZ CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CY1SG25TF-400BZ<br>DESCRIPTION: MAGNETICALLY COUPLED RODLESS CYLINDER                       <br>
Customs Stat number: 8479899790<br>Net weight: 2.366<br>Country of orig: GB <br>Cyl.Bore Size (mm): 25<br>eC@ss code 6.2 versn: 27290490<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 5<br>Price includes VAT (shipping calculated at cart)<br>Net price: 565.86<br>Price per unit: 565.86",https://iknan.co.uk/product/smc-cy1sg25tf-400bz-cylinder-incl-vat/,CY1SG25TF-400BZ,SMC,42,<section id='p198250'><h2><a href='https://iknan.co.uk/product/smc-cy1sg25tf-400bz-cylinder-incl-vat/'>SMC CY1SG25TF-400BZ CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CY1SG25TF-400BZ<br>DESCRIPTION: MAGNETICALLY COUPLED RODLESS CYLINDER                       <br><br/>Customs Stat number: 8479899790<br>Net weight: 2.366<br>Country of orig: GB <br>Cyl.Bore Size (mm): 25<br>eC@ss code 6.2 versn: 27290490<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 5<br>Price includes VAT (shipping calculated at cart)<br>Net price: 565.86<br>Price per unit: 565.86</p><p><a href='https://iknan.co.uk/product/smc-cy1sg25tf-400bz-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
198251,SMC CY1S15-350Z CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: CY1S15-350Z<br>DESCRIPTION: MAGNETICALLY COUPLED RODLESS CYLINDER                       <br>
Customs Stat number: 8479899790<br>Net weight: 1.52<br>Country of orig: GB <br>Length (mm): 458<br>Width (mm): 40<br>Height (mm): 81<br>Cyl.Bore Size (mm): 15<br>eC@ss code 6.2 versn: 27290490<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 5<br>Price includes VAT (shipping calculated at cart)<br>Net price: 371.68<br>Price per unit: 371.68",https://iknan.co.uk/product/smc-cy1s15-350z-cylinder-incl-vat/,CY1S15-350Z,SMC,42,<section id='p198251'><h2><a href='https://iknan.co.uk/product/smc-cy1s15-350z-cylinder-incl-vat/'>SMC CY1S15-350Z CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: CY1S15-350Z<br>DESCRIPTION: MAGNETICALLY COUPLED RODLESS CYLINDER                       <br><br/>Customs Stat number: 8479899790<br>Net weight: 1.52<br>Country of orig: GB <br>Length (mm): 458<br>Width (mm): 40<br>Height (mm): 81<br>Cyl.Bore Size (mm): 15<br>eC@ss code 6.2 versn: 27290490<br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 5<br>Price includes VAT (shipping calculated at cart)<br>Net price: 371.68<br>Price per unit: 371.68</p><p><a href='https://iknan.co.uk/product/smc-cy1s15-350z-cylinder-incl-vat/' target='_blank'>View product</a></p></section>
