ID,Title,Description,URL,SKU,Brand,Group,HTML snippet
141157,SMC C85KN12-165 ISO CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: C85KN12-165<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=165, NON-ROTATING                 <br>
Customs Stat number: 8412310090<br>Net weight: 0.198<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86",https://iknan.co.uk/product/smc-c85kn12-165-iso-cylinder-incl-vat/,C85KN12-165,SMC,23,"<section id='p141157'><h2><a href='https://iknan.co.uk/product/smc-c85kn12-165-iso-cylinder-incl-vat/'>SMC C85KN12-165 ISO CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: C85KN12-165<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=165, NON-ROTATING                 <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.198<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86</p><p><a href='https://iknan.co.uk/product/smc-c85kn12-165-iso-cylinder-incl-vat/' target='_blank'>View product</a></p></section>"
141158,SMC C85KN12-170 ISO CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: C85KN12-170<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=170, NON-ROTATING                 <br>
Customs Stat number: 8412310090<br>Net weight: 0.201<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86",https://iknan.co.uk/product/smc-c85kn12-170-iso-cylinder-incl-vat/,C85KN12-170,SMC,23,"<section id='p141158'><h2><a href='https://iknan.co.uk/product/smc-c85kn12-170-iso-cylinder-incl-vat/'>SMC C85KN12-170 ISO CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: C85KN12-170<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=170, NON-ROTATING                 <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.201<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86</p><p><a href='https://iknan.co.uk/product/smc-c85kn12-170-iso-cylinder-incl-vat/' target='_blank'>View product</a></p></section>"
141159,SMC C85KN12-175 ISO CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: C85KN12-175<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=175, NON-ROTATING                 <br>
Customs Stat number: 8412310090<br>Net weight: 0.205<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86",https://iknan.co.uk/product/smc-c85kn12-175-iso-cylinder-incl-vat/,C85KN12-175,SMC,23,"<section id='p141159'><h2><a href='https://iknan.co.uk/product/smc-c85kn12-175-iso-cylinder-incl-vat/'>SMC C85KN12-175 ISO CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: C85KN12-175<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=175, NON-ROTATING                 <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.205<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86</p><p><a href='https://iknan.co.uk/product/smc-c85kn12-175-iso-cylinder-incl-vat/' target='_blank'>View product</a></p></section>"
141160,SMC C85KN12-200 Cylinder Incl VAT,"Brand: SMC<br>PART NUMBER: C85KN12-200<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=200, NON-ROTATING                 <br>
Customs Stat number: 8412310090<br>Net weight: 0.22<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86",https://iknan.co.uk/product/smc-c85kn12-200-cylinder-incl-vat/,C85KN12-200,SMC,23,"<section id='p141160'><h2><a href='https://iknan.co.uk/product/smc-c85kn12-200-cylinder-incl-vat/'>SMC C85KN12-200 Cylinder Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: C85KN12-200<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=200, NON-ROTATING                 <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.22<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 41.86<br>Price per unit: 41.86</p><p><a href='https://iknan.co.uk/product/smc-c85kn12-200-cylinder-incl-vat/' target='_blank'>View product</a></p></section>"
141161,SMC C85KN12-20S ISO CYLINDER Incl VAT,"Brand: SMC<br>PART NUMBER: C85KN12-20S<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=20, NON-ROTATING, SINGLE ACTING   <br>
Customs Stat number: 8412310090<br>Net weight: 0.094<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 42.71<br>Price per unit: 42.71",https://iknan.co.uk/product/smc-c85kn12-20s-iso-cylinder-incl-vat/,C85KN12-20S,SMC,23,"<section id='p141161'><h2><a href='https://iknan.co.uk/product/smc-c85kn12-20s-iso-cylinder-incl-vat/'>SMC C85KN12-20S ISO CYLINDER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: C85KN12-20S<br>DESCRIPTION: ISO 6432 CYLINDER diameter 12 STR=20, NON-ROTATING, SINGLE ACTING   <br><br/>Customs Stat number: 8412310090<br>Net weight: 0.094<br>Country of orig: CZ <br>Cyl.Bore Size (mm): 12<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 8<br>Price includes VAT (shipping calculated at cart)<br>Net price: 42.71<br>Price per unit: 42.71</p><p><a href='https://iknan.co.uk/product/smc-c85kn12-20s-iso-cylinder-incl-vat/' target='_blank'>View product</a></p></section>"
141162,SMC ITV2050-PR3N-Q E/P REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ITV2050-PR3N-Q<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br>
Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 31<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79",https://iknan.co.uk/product/smc-itv2050-pr3n-q-e-p-regulator-incl-vat/,ITV2050-PR3N-Q,SMC,23,<section id='p141162'><h2><a href='https://iknan.co.uk/product/smc-itv2050-pr3n-q-e-p-regulator-incl-vat/'>SMC ITV2050-PR3N-Q E/P REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV2050-PR3N-Q<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 31<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79</p><p><a href='https://iknan.co.uk/product/smc-itv2050-pr3n-q-e-p-regulator-incl-vat/' target='_blank'>View product</a></p></section>
141163,SMC ITV2050-PRF2N E/P REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ITV2050-PRF2N<br>DESCRIPTION: ITV1000/2000/3000, Electro-Pneumatic Regulator<br>PROPERTIES/VALUES: Model:  20 (1500 L/min)
Pressure Range:  5 (0.005~0.9MPa)
Power Voltage:  0 (24VDC)
Input Signal:  PR (PROFIBUS DP®)
Monitor Output:  None
Thread:  F (G[PF])
Port Size:  2 (1/4 [2000,3000])
Accessory:  None
Cable Connector:  N (w/oCable Connector)
Pressure Display Unit:  MPa
Options:  None<br>LONG DESCRIPTION: Compact and lightweight
Enclosure: IP65
Integrated LED display
Power consumption: 4 W or less
Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.<br>BULLET POINTS: Pressure range: 0.005 to 0.9 MPa
Maximum flow rate: 4000 l/min (ANR)
Port sizes: 1/8, 1/4, 3/8, 1/2
Applicable fieldbus protocols: IO-Link, CC-Link, DeviceNet™, PROFIBUS, RS-232C.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/itv1000-2000-3000-electro-pneumatic-regulator~134575~cfg?partNumber=ITV2050-PRF2N<br>PDF: https://content2.smcetech.com/pdf/ITV-G_EU.pdf<br>DATASHEET: https://www.smc.eu/en-gb/direct-datasheet?partNumber=ITV2050-PRF2N&productId=134575<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_om00112en-c.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_om00109en-c.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/om_itv2_om00068en-c.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_cc-link_en-b.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_devicenet_en-c.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_profibus-dp_en-a.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_rs-232c_en.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv000_om005en-e.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv000_om005en-e.pdf
<br>INSTALLATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itvx_tfi12gb-a.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itv3000_54gb-a.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/im_itv2-il-tf2z014en.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/im_itv2-io_smy17en.pdf
<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79",https://iknan.co.uk/product/smc-itv2050-prf2n-e-p-regulator-incl-vat/,ITV2050-PRF2N,SMC,23,"<section id='p141163'><h2><a href='https://iknan.co.uk/product/smc-itv2050-prf2n-e-p-regulator-incl-vat/'>SMC ITV2050-PRF2N E/P REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV2050-PRF2N<br>DESCRIPTION: ITV1000/2000/3000, Electro-Pneumatic Regulator<br>PROPERTIES/VALUES: Model:  20 (1500 L/min)<br/>Pressure Range:  5 (0.005~0.9MPa)<br/>Power Voltage:  0 (24VDC)<br/>Input Signal:  PR (PROFIBUS DP®)<br/>Monitor Output:  None<br/>Thread:  F (G[PF])<br/>Port Size:  2 (1/4 [2000,3000])<br/>Accessory:  None<br/>Cable Connector:  N (w/oCable Connector)<br/>Pressure Display Unit:  MPa<br/>Options:  None<br>LONG DESCRIPTION: Compact and lightweight<br/>Enclosure: IP65<br/>Integrated LED display<br/>Power consumption: 4 W or less<br/>Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.<br>BULLET POINTS: Pressure range: 0.005 to 0.9 MPa<br/>Maximum flow rate: 4000 l/min (ANR)<br/>Port sizes: 1/8, 1/4, 3/8, 1/2<br/>Applicable fieldbus protocols: IO-Link, CC-Link, DeviceNet™, PROFIBUS, RS-232C.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/itv1000-2000-3000-electro-pneumatic-regulator~134575~cfg?partNumber=ITV2050-PRF2N<br>PDF: https://content2.smcetech.com/pdf/ITV-G_EU.pdf<br>DATASHEET: https://www.smc.eu/en-gb/direct-datasheet?partNumber=ITV2050-PRF2N&productId=134575<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_om00112en-c.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_om00109en-c.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/om_itv2_om00068en-c.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_cc-link_en-b.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_devicenet_en-c.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_profibus-dp_en-a.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv2_rs-232c_en.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv000_om005en-e.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv000_om005en-e.pdf<br/><br>INSTALLATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itvx_tfi12gb-a.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itv3000_54gb-a.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/im_itv2-il-tf2z014en.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/im_itv2-io_smy17en.pdf<br/><br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79</p><p><a href='https://iknan.co.uk/product/smc-itv2050-prf2n-e-p-regulator-incl-vat/' target='_blank'>View product</a></p></section>"
141164,SMC ITV2050-PRF3N-Q REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ITV2050-PRF3N-Q<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br>
Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 28<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79",https://iknan.co.uk/product/smc-itv2050-prf3n-q-regulator-incl-vat/,ITV2050-PRF3N-Q,SMC,23,<section id='p141164'><h2><a href='https://iknan.co.uk/product/smc-itv2050-prf3n-q-regulator-incl-vat/'>SMC ITV2050-PRF3N-Q REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV2050-PRF3N-Q<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): Y                        <br>Price is for Pack Size of: 1<br>Lead time: 28<br>Price includes VAT (shipping calculated at cart)<br>Net price: 507.79<br>Price per unit: 507.79</p><p><a href='https://iknan.co.uk/product/smc-itv2050-prf3n-q-regulator-incl-vat/' target='_blank'>View product</a></p></section>
141165,SMC ITV2051-012BL3 E/P REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ITV2051-012BL3<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br>
Customs Stat number: 8481209090<br>Net weight: 0.62<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 388.27<br>Price per unit: 388.27",https://iknan.co.uk/product/smc-itv2051-012bl3-e-p-regulator-incl-vat/,ITV2051-012BL3,SMC,23,<section id='p141165'><h2><a href='https://iknan.co.uk/product/smc-itv2051-012bl3-e-p-regulator-incl-vat/'>SMC ITV2051-012BL3 E/P REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV2051-012BL3<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.62<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 388.27<br>Price per unit: 388.27</p><p><a href='https://iknan.co.uk/product/smc-itv2051-012bl3-e-p-regulator-incl-vat/' target='_blank'>View product</a></p></section>
141166,SMC ITV2051-01F3N E/P REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ITV2051-01F3N<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br>
Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 359.09<br>Price per unit: 359.09",https://iknan.co.uk/product/smc-itv2051-01f3n-e-p-regulator-incl-vat/,ITV2051-01F3N,SMC,23,<section id='p141166'><h2><a href='https://iknan.co.uk/product/smc-itv2051-01f3n-e-p-regulator-incl-vat/'>SMC ITV2051-01F3N E/P REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV2051-01F3N<br>DESCRIPTION: ELECTRO-PNEUMATIC REGULATOR                                 <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.35<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 359.09<br>Price per unit: 359.09</p><p><a href='https://iknan.co.uk/product/smc-itv2051-01f3n-e-p-regulator-incl-vat/' target='_blank'>View product</a></p></section>
