ID,Title,Description,URL,SKU,Brand,Group,HTML snippet
210244,SMC AS1100W04-S23-TM5 SPEED CONTROLLER Incl VAT,"Brand: SMC<br>PART NUMBER: AS1100W04-S23-TM5<br>DESCRIPTION: SPEED CONTROLLER                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.013<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 19.10<br>Price per unit: 19.10",https://iknan.co.uk/product/smc-as1100w04-s23-tm5-speed-controller-incl-vat/,AS1100W04-S23-TM5,SMC,46,<section id='p210244'><h2><a href='https://iknan.co.uk/product/smc-as1100w04-s23-tm5-speed-controller-incl-vat/'>SMC AS1100W04-S23-TM5 SPEED CONTROLLER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS1100W04-S23-TM5<br>DESCRIPTION: SPEED CONTROLLER                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.013<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 19.10<br>Price per unit: 19.10</p><p><a href='https://iknan.co.uk/product/smc-as1100w04-s23-tm5-speed-controller-incl-vat/' target='_blank'>View product</a></p></section>
210245,SMC AS1100W06-S04-TM5 SPEED CONTROLLER Incl VAT,"Brand: SMC<br>PART NUMBER: AS1100W06-S04-TM5<br>DESCRIPTION: SPEED CONTROLLER                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.015<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 19.10<br>Price per unit: 19.10",https://iknan.co.uk/product/smc-as1100w06-s04-tm5-speed-controller-incl-vat/,AS1100W06-S04-TM5,SMC,46,<section id='p210245'><h2><a href='https://iknan.co.uk/product/smc-as1100w06-s04-tm5-speed-controller-incl-vat/'>SMC AS1100W06-S04-TM5 SPEED CONTROLLER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS1100W06-S04-TM5<br>DESCRIPTION: SPEED CONTROLLER                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.015<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 19.10<br>Price per unit: 19.10</p><p><a href='https://iknan.co.uk/product/smc-as1100w06-s04-tm5-speed-controller-incl-vat/' target='_blank'>View product</a></p></section>
210246,SMC AS-11AB BOLT SET Incl VAT,"Brand: SMC<br>PART NUMBER: AS-11AB<br>DESCRIPTION: BOLT SET                                                    <br>
Customs Stat number: 7318290090<br>Net weight: 0.01<br>Country of orig: JP <br>RoHS Status (Y/P/N):                          <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 6.90<br>Price per unit: 6.90",https://iknan.co.uk/product/smc-as-11ab-bolt-set-incl-vat/,AS-11AB,SMC,46,<section id='p210246'><h2><a href='https://iknan.co.uk/product/smc-as-11ab-bolt-set-incl-vat/'>SMC AS-11AB BOLT SET Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS-11AB<br>DESCRIPTION: BOLT SET                                                    <br><br/>Customs Stat number: 7318290090<br>Net weight: 0.01<br>Country of orig: JP <br>RoHS Status (Y/P/N):                          <br>Price is for Pack Size of: 1<br>Lead time: 22<br>Price includes VAT (shipping calculated at cart)<br>Net price: 6.90<br>Price per unit: 6.90</p><p><a href='https://iknan.co.uk/product/smc-as-11ab-bolt-set-incl-vat/' target='_blank'>View product</a></p></section>
210247,SMC AS1200F-M5-04 Elbow Fcv Incl VAT,"Brand: SMC<br>PART NUMBER: AS1200F-M5-04<br>DESCRIPTION: SPEED CONTROLLER                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.012<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 6.41<br>Price per unit: 6.41",https://iknan.co.uk/product/smc-as1200f-m5-04-elbow-fcv-incl-vat/,AS1200F-M5-04,SMC,46,<section id='p210247'><h2><a href='https://iknan.co.uk/product/smc-as1200f-m5-04-elbow-fcv-incl-vat/'>SMC AS1200F-M5-04 Elbow Fcv Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS1200F-M5-04<br>DESCRIPTION: SPEED CONTROLLER                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.012<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 6.41<br>Price per unit: 6.41</p><p><a href='https://iknan.co.uk/product/smc-as1200f-m5-04-elbow-fcv-incl-vat/' target='_blank'>View product</a></p></section>
210248,SMC AS1200-M3-K SPEED CONTROLLER Incl VAT,"Brand: SMC<br>PART NUMBER: AS1200-M3-K<br>DESCRIPTION: SPEED CONTROLLER                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.003<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 8.37<br>Price per unit: 8.37",https://iknan.co.uk/product/smc-as1200-m3-k-speed-controller-incl-vat/,AS1200-M3-K,SMC,46,<section id='p210248'><h2><a href='https://iknan.co.uk/product/smc-as1200-m3-k-speed-controller-incl-vat/'>SMC AS1200-M3-K SPEED CONTROLLER Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AS1200-M3-K<br>DESCRIPTION: SPEED CONTROLLER                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.003<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 18<br>Price includes VAT (shipping calculated at cart)<br>Net price: 8.37<br>Price per unit: 8.37</p><p><a href='https://iknan.co.uk/product/smc-as1200-m3-k-speed-controller-incl-vat/' target='_blank'>View product</a></p></section>
210249,SMC AW30-F03E3-12R FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW30-F03E3-12R<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34",https://iknan.co.uk/product/smc-aw30-f03e3-12r-filter-regulator-incl-vat/,AW30-F03E3-12R,SMC,46,<section id='p210249'><h2><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12r-filter-regulator-incl-vat/'>SMC AW30-F03E3-12R FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW30-F03E3-12R<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34</p><p><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12r-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
210250,SMC AW30-F03E3-12RZA FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW30-F03E3-12RZA<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34",https://iknan.co.uk/product/smc-aw30-f03e3-12rza-filter-regulator-incl-vat/,AW30-F03E3-12RZA,SMC,46,<section id='p210250'><h2><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12rza-filter-regulator-incl-vat/'>SMC AW30-F03E3-12RZA FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW30-F03E3-12RZA<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34</p><p><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12rza-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
210251,SMC AW30-F03E3-12ZA FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW30-F03E3-12ZA<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34",https://iknan.co.uk/product/smc-aw30-f03e3-12za-filter-regulator-incl-vat/,AW30-F03E3-12ZA,SMC,46,<section id='p210251'><h2><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12za-filter-regulator-incl-vat/'>SMC AW30-F03E3-12ZA FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW30-F03E3-12ZA<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.34<br>Price per unit: 90.34</p><p><a href='https://iknan.co.uk/product/smc-aw30-f03e3-12za-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
210252,SMC AW30-F03E3-16RW FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW30-F03E3-16RW<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 89.34<br>Price per unit: 89.34",https://iknan.co.uk/product/smc-aw30-f03e3-16rw-filter-regulator-incl-vat/,AW30-F03E3-16RW,SMC,46,<section id='p210252'><h2><a href='https://iknan.co.uk/product/smc-aw30-f03e3-16rw-filter-regulator-incl-vat/'>SMC AW30-F03E3-16RW FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW30-F03E3-16RW<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 89.34<br>Price per unit: 89.34</p><p><a href='https://iknan.co.uk/product/smc-aw30-f03e3-16rw-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
210253,SMC AW30-F03E3-16RWZA FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW30-F03E3-16RWZA<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 89.34<br>Price per unit: 89.34",https://iknan.co.uk/product/smc-aw30-f03e3-16rwza-filter-regulator-incl-vat/,AW30-F03E3-16RWZA,SMC,46,<section id='p210253'><h2><a href='https://iknan.co.uk/product/smc-aw30-f03e3-16rwza-filter-regulator-incl-vat/'>SMC AW30-F03E3-16RWZA FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW30-F03E3-16RWZA<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 89.34<br>Price per unit: 89.34</p><p><a href='https://iknan.co.uk/product/smc-aw30-f03e3-16rwza-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
