ID,Title,Description,URL,SKU,Brand,Group,HTML snippet
135147,SMC AW20K-F02CE1-6CRZA FILTER REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AW20K-F02CE1-6CRZA<br>DESCRIPTION: FILTER REGULATOR                                            <br>
Customs Stat number: 8481209090<br>Net weight: 0.465<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 92.42<br>Price per unit: 92.42",https://iknan.co.uk/product/smc-aw20k-f02ce1-6crza-filter-regulator-incl-vat/,AW20K-F02CE1-6CRZA,SMC,21,<section id='p135147'><h2><a href='https://iknan.co.uk/product/smc-aw20k-f02ce1-6crza-filter-regulator-incl-vat/'>SMC AW20K-F02CE1-6CRZA FILTER REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AW20K-F02CE1-6CRZA<br>DESCRIPTION: FILTER REGULATOR                                            <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.465<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 23<br>Price includes VAT (shipping calculated at cart)<br>Net price: 92.42<br>Price per unit: 92.42</p><p><a href='https://iknan.co.uk/product/smc-aw20k-f02ce1-6crza-filter-regulator-incl-vat/' target='_blank'>View product</a></p></section>
135148,SMC ARG20-02G2H REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ARG20-02G2H<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br>
Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: CN <br>Length (mm): 53<br>Width (mm): 111<br>Height (mm): 57<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58",https://iknan.co.uk/product/smc-arg20-02g2h-regulator-incl-vat/,ARG20-02G2H,SMC,21,<section id='p135148'><h2><a href='https://iknan.co.uk/product/smc-arg20-02g2h-regulator-incl-vat/'>SMC ARG20-02G2H REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ARG20-02G2H<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: CN <br>Length (mm): 53<br>Width (mm): 111<br>Height (mm): 57<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58</p><p><a href='https://iknan.co.uk/product/smc-arg20-02g2h-regulator-incl-vat/' target='_blank'>View product</a></p></section>
135149,SMC ARG20-F01G1-B 02080055 Incl VAT,"Brand: SMC<br>PART NUMBER: ARG20-F01G1-B<br>DESCRIPTION: ARG20(K)~40(K)-B, Regulator w/Built-in Pressure Gauge<br>PROPERTIES/VALUES: Size:  20 (1/8)
Reverse Flow Function:  Regulator, Standard
Thread:  F (G)
Port Size:  01 (1/8)
Bracket:  None
Pressure Gauge Angle:  G1 (0°)
Set Nut:  None
Set pressure:  0.05 to 0.85 MPa
Exhaust Mechanism:  Relieving
Knob:  Downward
Pressure Unit:  MPa
0.4 MPa Setting:  No
Special Mounting Angle:  None<br>LONG DESCRIPTION: Regulator with built-in pressure gauge
Body size: 20, 30, 40
One-touch mounting/removal of the pressure gauge cover.<br>BULLET POINTS: Body size: 20, 30, 40.
One-touch mounting/removal of the pressure gauge cover.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/arg20-k-40-k-b-regulator-w-built-in-pressure-gauge~164697~cfg?partNumber=ARG20-F01G1-B<br>PDF: https://content2.smcetech.com/pdf/ACG-ARG-AWG-B-A_EU.pdf<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/arg_ar_-omi0085.pdf
<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58",https://iknan.co.uk/product/smc-arg20-f01g1-b-02080055-incl-vat/,ARG20-F01G1-B,SMC,21,"<section id='p135149'><h2><a href='https://iknan.co.uk/product/smc-arg20-f01g1-b-02080055-incl-vat/'>SMC ARG20-F01G1-B 02080055 Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ARG20-F01G1-B<br>DESCRIPTION: ARG20(K)~40(K)-B, Regulator w/Built-in Pressure Gauge<br>PROPERTIES/VALUES: Size:  20 (1/8)<br/>Reverse Flow Function:  Regulator, Standard<br/>Thread:  F (G)<br/>Port Size:  01 (1/8)<br/>Bracket:  None<br/>Pressure Gauge Angle:  G1 (0°)<br/>Set Nut:  None<br/>Set pressure:  0.05 to 0.85 MPa<br/>Exhaust Mechanism:  Relieving<br/>Knob:  Downward<br/>Pressure Unit:  MPa<br/>0.4 MPa Setting:  No<br/>Special Mounting Angle:  None<br>LONG DESCRIPTION: Regulator with built-in pressure gauge<br/>Body size: 20, 30, 40<br/>One-touch mounting/removal of the pressure gauge cover.<br>BULLET POINTS: Body size: 20, 30, 40.<br/>One-touch mounting/removal of the pressure gauge cover.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/arg20-k-40-k-b-regulator-w-built-in-pressure-gauge~164697~cfg?partNumber=ARG20-F01G1-B<br>PDF: https://content2.smcetech.com/pdf/ACG-ARG-AWG-B-A_EU.pdf<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/arg_ar_-omi0085.pdf<br/><br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58</p><p><a href='https://iknan.co.uk/product/smc-arg20-f01g1-b-02080055-incl-vat/' target='_blank'>View product</a></p></section>"
135150,SMC ARG20-F01G1H-1 REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ARG20-F01G1H-1<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br>
Customs Stat number: 8481209090<br>Net weight: 0.36<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58",https://iknan.co.uk/product/smc-arg20-f01g1h-1-regulator-incl-vat/,ARG20-F01G1H-1,SMC,21,<section id='p135150'><h2><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-1-regulator-incl-vat/'>SMC ARG20-F01G1H-1 REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ARG20-F01G1H-1<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.36<br>Country of orig: CN <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58</p><p><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-1-regulator-incl-vat/' target='_blank'>View product</a></p></section>
135151,SMC ARG20-F01G1H-1N REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ARG20-F01G1H-1N<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br>
Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58",https://iknan.co.uk/product/smc-arg20-f01g1h-1n-regulator-incl-vat/,ARG20-F01G1H-1N,SMC,21,<section id='p135151'><h2><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-1n-regulator-incl-vat/'>SMC ARG20-F01G1H-1N REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ARG20-F01G1H-1N<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58</p><p><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-1n-regulator-incl-vat/' target='_blank'>View product</a></p></section>
135152,SMC ARG20-F01G1H-N REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: ARG20-F01G1H-N<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br>
Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58",https://iknan.co.uk/product/smc-arg20-f01g1h-n-regulator-incl-vat/,ARG20-F01G1H-N,SMC,21,<section id='p135152'><h2><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-n-regulator-incl-vat/'>SMC ARG20-F01G1H-N REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ARG20-F01G1H-N<br>DESCRIPTION: REGULATOR WITH BUILT-IN PRESSURE GAUGE                      <br><br/>Customs Stat number: 8481209090<br>Net weight: 0.31<br>Country of orig: JP <br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 27<br>Price includes VAT (shipping calculated at cart)<br>Net price: 33.58<br>Price per unit: 33.58</p><p><a href='https://iknan.co.uk/product/smc-arg20-f01g1h-n-regulator-incl-vat/' target='_blank'>View product</a></p></section>
135153,SMC EMGQM32-150 COMPACT GUIDE CY Incl VAT,"Brand: SMC<br>PART NUMBER: EMGQM32-150<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=150                          <br>
Customs Stat number: 8479899790<br>Net weight: 3.56<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 376.35<br>Price per unit: 376.35",https://iknan.co.uk/product/smc-emgqm32-150-compact-guide-cy-incl-vat/,EMGQM32-150,SMC,21,<section id='p135153'><h2><a href='https://iknan.co.uk/product/smc-emgqm32-150-compact-guide-cy-incl-vat/'>SMC EMGQM32-150 COMPACT GUIDE CY Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: EMGQM32-150<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=150                          <br><br/>Customs Stat number: 8479899790<br>Net weight: 3.56<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 376.35<br>Price per unit: 376.35</p><p><a href='https://iknan.co.uk/product/smc-emgqm32-150-compact-guide-cy-incl-vat/' target='_blank'>View product</a></p></section>
135154,SMC EMGQM32-175 COMPACT GUIDE CY Incl VAT,"Brand: SMC<br>PART NUMBER: EMGQM32-175<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=175                          <br>
Customs Stat number: 8479899790<br>Net weight: 3.95<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 25<br>Price includes VAT (shipping calculated at cart)<br>Net price: 501.83<br>Price per unit: 501.83",https://iknan.co.uk/product/smc-emgqm32-175-compact-guide-cy-incl-vat/,EMGQM32-175,SMC,21,<section id='p135154'><h2><a href='https://iknan.co.uk/product/smc-emgqm32-175-compact-guide-cy-incl-vat/'>SMC EMGQM32-175 COMPACT GUIDE CY Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: EMGQM32-175<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=175                          <br><br/>Customs Stat number: 8479899790<br>Net weight: 3.95<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 25<br>Price includes VAT (shipping calculated at cart)<br>Net price: 501.83<br>Price per unit: 501.83</p><p><a href='https://iknan.co.uk/product/smc-emgqm32-175-compact-guide-cy-incl-vat/' target='_blank'>View product</a></p></section>
135155,SMC EMGQM32-200 COMPACT GUIDE CY Incl VAT,"Brand: SMC<br>PART NUMBER: EMGQM32-200<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=200                          <br>
Customs Stat number: 8479899790<br>Net weight: 4.29<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 25<br>Price includes VAT (shipping calculated at cart)<br>Net price: 418.52<br>Price per unit: 418.52",https://iknan.co.uk/product/smc-emgqm32-200-compact-guide-cy-incl-vat/,EMGQM32-200,SMC,21,<section id='p135155'><h2><a href='https://iknan.co.uk/product/smc-emgqm32-200-compact-guide-cy-incl-vat/'>SMC EMGQM32-200 COMPACT GUIDE CY Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: EMGQM32-200<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=200                          <br><br/>Customs Stat number: 8479899790<br>Net weight: 4.29<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 25<br>Price includes VAT (shipping calculated at cart)<br>Net price: 418.52<br>Price per unit: 418.52</p><p><a href='https://iknan.co.uk/product/smc-emgqm32-200-compact-guide-cy-incl-vat/' target='_blank'>View product</a></p></section>
135156,SMC EMGQM32-25 00094443 Incl VAT,"Brand: SMC<br>PART NUMBER: EMGQM32-25<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=25                           <br>
Customs Stat number: 8479899790<br>Net weight: 1.6<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 271.25<br>Price per unit: 271.25",https://iknan.co.uk/product/smc-emgqm32-25-00094443-incl-vat/,EMGQM32-25,SMC,21,<section id='p135156'><h2><a href='https://iknan.co.uk/product/smc-emgqm32-25-00094443-incl-vat/'>SMC EMGQM32-25 00094443 Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: EMGQM32-25<br>DESCRIPTION: COMPACT GUIDE CYLINDER diameter 32 STR=25                           <br><br/>Customs Stat number: 8479899790<br>Net weight: 1.6<br>Country of orig: CN <br>Cyl.Bore Size (mm): 32<br>RoHS Status (Y/P/N): P                        <br>Price is for Pack Size of: 1<br>Lead time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 271.25<br>Price per unit: 271.25</p><p><a href='https://iknan.co.uk/product/smc-emgqm32-25-00094443-incl-vat/' target='_blank'>View product</a></p></section>
